common_name;season;matches_played;matches_played_home;matches_played_away;wins;wins_home;wins_away;draws;draws_home;draws_away;losses;losses_home;losses_away;league_position;goals_scored;goals_conceded;goal_difference;total_goal_count;corners_total;corners_total_home;corners_total_away;cards_total;cards_total_home;cards_total_away
Junior;2014;42;21;21;18;14;4;10;2;8;14;5;9;12;44;41;3;85;179;102;77;123;53;70
Deportivo Cali;2014;42;21;21;15;11;4;10;4;6;17;6;11;2;53;60;-7;113;193;124;69;120;59;61
Santa Fe;2014;48;24;24;23;12;11;13;7;6;12;5;7;2;65;42;23;107;242;137;105;145;68;77
Atlético Huila;2014;42;21;21;15;12;3;12;5;7;15;4;11;1;56;50;6;106;137;54;83;119;60;59
Once Caldas;2014;44;22;22;17;11;6;15;7;8;12;4;8;4;58;45;13;103;196;105;91;130;60;70
Millonarios;2014;40;20;20;16;9;7;11;8;3;13;3;10;15;51;44;7;95;203;129;74;103;43;60
Independiente Medellín;2014;44;22;22;17;12;5;12;4;8;15;6;9;1;68;63;5;131;231;132;99;140;62;78
Deportes Tolima;2014;42;21;21;12;7;5;14;8;6;16;6;10;4;51;64;-13;115;197;130;67;114;48;66
Atlético Nacional;2014;48;24;24;24;15;9;9;5;4;15;4;11;3;75;45;30;120;249;165;84;124;50;74
Deportivo Pasto;2014;36;18;18;7;6;1;17;9;8;12;3;9;16;43;49;-6;92;145;91;54;101;48;53
Patriotas Boyacá;2014;36;18;18;12;11;1;9;4;5;15;3;12;10;39;54;-15;93;98;41;57;120;54;66
Envigado;2014;38;19;19;14;7;7;6;4;2;18;8;10;14;47;50;-3;97;150;90;60;151;69;82
Alianza Petrolera;2014;36;18;18;15;8;7;9;5;4;12;5;7;9;40;44;-4;84;103;47;56;106;49;57
Rionegro Águilas;2014;44;22;22;18;11;7;11;8;3;15;3;12;3;57;58;-1;115;203;109;94;103;47;56
La Equidad;2014;38;19;19;10;5;5;12;7;5;16;7;9;18;34;50;-16;84;142;85;57;118;51;67
Boyacá Chicó;2014;36;18;18;12;10;2;11;4;7;13;4;9;11;42;38;4;80;116;60;56;93;48;45
Fortaleza CEIF;2014;36;18;18;8;5;3;14;8;6;14;5;9;13;39;47;-8;86;163;91;72;148;64;84
Uniautónoma;2014;36;18;18;8;7;1;11;4;7;17;7;10;17;35;53;-18;88;139;88;51;111;51;60
