common_name;season;matches_played;matches_played_home;matches_played_away;wins;wins_home;wins_away;draws;draws_home;draws_away;losses;losses_home;losses_away;league_position;goals_scored;goals_conceded;goal_difference;total_goal_count;corners_total;corners_total_home;corners_total_away;cards_total;cards_total_home;cards_total_away
Junior;2015;48;24;24;24;15;9;10;5;5;14;4;10;2;68;47;21;115;230;149;81;112;47;65
Deportivo Cali;2015;48;24;24;22;13;9;13;7;6;13;4;9;7;76;62;14;138;251;158;93;173;82;91
Santa Fe;2015;42;21;21;17;13;4;14;5;9;11;3;8;8;58;38;20;96;181;90;91;136;54;82
Atlético Huila;2015;42;21;21;15;8;7;12;7;5;15;6;9;18;48;55;-7;103;139;86;53;135;62;73
Once Caldas;2015;42;21;21;15;7;8;15;9;6;12;5;7;5;56;49;7;105;189;122;67;153;72;81
Millonarios;2015;44;22;22;18;14;4;14;7;7;12;1;11;11;65;45;20;110;244;142;102;123;52;71
Independiente Medellín;2015;50;25;25;25;15;10;13;8;5;12;2;10;4;67;48;19;115;213;119;94;132;56;76
Cortuluá;2015;40;20;20;11;7;4;12;7;5;17;6;11;15;42;45;-3;87;145;94;51;120;61;59
Deportes Tolima;2015;48;24;24;22;17;5;12;3;9;14;4;10;3;61;40;21;101;214;132;82;132;52;80
Atlético Nacional;2015;48;24;24;27;17;10;9;4;5;12;3;9;1;76;39;37;115;189;126;63;115;53;62
Deportivo Pasto;2015;40;20;20;11;8;3;6;4;2;23;8;15;10;36;70;-34;106;186;132;54;127;55;72
Patriotas Boyacá;2015;40;20;20;16;10;6;10;5;5;14;5;9;9;41;37;4;78;127;50;77;130;67;63
Envigado;2015;42;21;21;17;10;7;13;5;8;12;6;6;13;42;37;5;79;140;88;52;136;62;74
Alianza Petrolera;2015;42;21;21;12;11;1;17;6;11;13;4;9;6;35;40;-5;75;129;66;63;133;59;74
Rionegro Águilas;2015;40;20;20;13;10;3;15;6;9;12;4;8;14;40;32;8;72;155;93;62;82;37;45
La Equidad;2015;40;20;20;14;9;5;12;4;8;14;7;7;12;43;48;-5;91;135;84;51;139;59;80
Jaguares de Córdoba;2015;40;20;20;7;5;2;10;7;3;23;8;15;20;39;67;-28;106;44;0;44;143;75;68
Boyacá Chicó;2015;40;20;20;7;5;2;13;5;8;20;10;10;17;26;58;-32;84;115;76;39;142;58;84
Cúcuta Deportivo;2015;40;20;20;5;5;0;12;8;4;23;7;16;19;32;69;-37;101;74;33;41;127;61;66
Uniautónoma;2015;40;20;20;9;5;4;10;9;1;21;6;15;16;31;56;-25;87;110;59;51;125;54;71
