common_name;season;matches_played;matches_played_home;matches_played_away;wins;wins_home;wins_away;draws;draws_home;draws_away;losses;losses_home;losses_away;league_position;goals_scored;goals_conceded;goal_difference;total_goal_count;corners_total;corners_total_home;corners_total_away;cards_total;cards_total_home;cards_total_away
Junior;2016;46;23;23;18;13;5;17;8;9;11;2;9;11;59;55;4;114;195;104;91;147;68;79
Deportivo Cali;2016;44;22;22;20;16;4;10;4;6;14;2;12;2;64;51;13;115;221;132;89;155;74;81
Santa Fe;2016;48;24;24;24;13;11;13;9;4;11;2;9;4;62;38;24;100;202;119;83;168;79;89
Atlético Huila;2016;40;20;20;11;10;1;9;3;6;20;7;13;16;36;53;-17;89;118;57;61;130;57;73
Once Caldas;2016;40;20;20;14;8;6;9;4;5;17;8;9;13;51;46;5;97;217;138;79;110;51;59
Millonarios;2016;44;22;22;23;16;7;7;3;4;14;3;11;5;64;46;18;110;219;132;87;141;72;69
Independiente Medellín;2016;48;24;24;23;15;8;14;5;9;11;4;7;6;74;53;21;127;232;133;99;141;59;82
Cortuluá;2016;44;22;22;13;8;5;13;7;6;18;7;11;19;57;62;-5;119;114;68;46;154;73;81
Atlético Bucaramanga;2016;44;22;22;14;8;6;20;11;9;10;3;7;7;50;50;0;100;186;117;69;136;60;76
Deportes Tolima;2016;46;23;23;17;12;5;13;6;7;16;5;11;3;54;53;1;107;231;129;102;148;74;74
Atlético Nacional;2016;48;24;24;22;16;6;18;5;13;8;3;5;1;82;49;33;131;224;141;83;151;61;90
Deportivo Pasto;2016;40;20;20;10;7;3;14;5;9;16;8;8;18;38;51;-13;89;208;134;74;162;66;96
Patriotas Boyacá;2016;42;21;21;18;12;6;10;6;4;14;3;11;8;47;44;3;91;196;100;96;145;63;82
Envigado;2016;40;20;20;13;9;4;12;7;5;15;4;11;9;44;42;2;86;157;80;77;143;66;77
Alianza Petrolera;2016;40;20;20;12;8;4;11;5;6;17;7;10;10;46;55;-9;101;176;109;67;132;60;72
Rionegro Águilas;2016;42;21;21;17;8;9;11;7;4;14;6;8;12;55;53;2;108;167;94;73;154;79;75
La Equidad;2016;40;20;20;9;5;4;15;8;7;16;7;9;14;44;57;-13;101;143;88;55;122;63;59
Jaguares de Córdoba;2016;40;20;20;12;7;5;10;9;1;18;4;14;15;32;49;-17;81;145;94;51;128;67;61
Boyacá Chicó;2016;40;20;20;7;6;1;10;6;4;23;8;15;20;35;61;-26;96;126;77;49;150;69;81
Fortaleza CEIF;2016;40;20;20;9;7;2;8;4;4;23;9;14;17;36;62;-26;98;178;92;86;113;54;59
