common_name;season;matches_played;matches_played_home;matches_played_away;wins;wins_home;wins_away;draws;draws_home;draws_away;losses;losses_home;losses_away;league_position;goals_scored;goals_conceded;goal_difference;total_goal_count;corners_total;corners_total_home;corners_total_away;cards_total;cards_total_home;cards_total_away
Junior;2019;56;28;28;22;14;8;24;11;13;10;3;7;1;61;43;18;104;218;136;82;158;73;85
Deportivo Cali;2019;52;26;26;22;15;7;13;6;7;17;5;12;2;68;57;11;125;255;135;120;169;84;85
Santa Fe;2019;46;23;23;12;7;5;18;10;8;16;6;10;3;44;42;2;86;221;125;96;167;79;88
Atlético Huila;2019;40;20;20;6;4;2;17;9;8;17;7;10;18;32;56;-24;88;157;96;61;144;65;79
Once Caldas;2019;40;20;20;15;10;5;11;4;7;14;6;8;10;46;36;10;82;168;91;77;124;60;64
Millonarios;2019;46;23;23;22;14;8;12;4;8;12;5;7;11;61;47;14;108;194;106;88;146;63;83
Independiente Medellín;2019;40;20;20;16;10;6;11;6;5;13;4;9;9;62;50;12;112;170;85;85;123;53;70
Atlético Bucaramanga;2019;40;20;20;11;7;4;13;6;7;16;7;9;12;40;49;-9;89;148;84;64;135;69;66
Deportes Tolima;2019;52;26;26;24;12;12;16;9;7;12;5;7;2;69;40;29;109;251;145;106;148;68;80
América de Cali;2019;54;27;27;27;16;11;11;5;6;16;6;10;1;75;58;17;133;265;143;122;172;81;91
Atlético Nacional;2019;52;26;26;20;12;8;18;8;10;14;6;8;3;67;53;14;120;288;174;114;134;61;73
Deportivo Pasto;2019;48;24;24;18;13;5;16;9;7;14;2;12;14;55;43;12;98;206;115;91;166;84;82
Patriotas Boyacá;2019;40;20;20;12;11;1;14;5;9;14;4;10;13;39;51;-12;90;162;94;68;101;42;59
Envigado;2019;40;20;20;10;6;4;17;10;7;13;4;9;15;45;48;-3;93;147;98;49;122;62;60
Alianza Petrolera;2019;46;23;23;14;9;5;18;9;9;14;5;9;4;39;41;-2;80;217;121;96;165;85;80
Rionegro Águilas;2019;40;20;20;7;6;1;16;5;11;17;9;8;16;39;59;-20;98;198;119;79;146;74;72
La Equidad;2019;40;20;20;8;6;2;18;9;9;14;5;9;17;40;46;-6;86;155;102;53;116;57;59
Jaguares de Córdoba;2019;40;20;20;8;5;3;14;11;3;18;4;14;19;31;61;-30;92;194;120;74;113;48;65
Cúcuta Deportivo;2019;46;23;23;18;11;7;9;6;3;19;6;13;4;56;63;-7;119;219;114;105;154;82;72
Unión Magdalena;2019;46;23;23;11;9;2;12;7;5;23;7;16;20;40;66;-26;106;204;111;93;162;79;83
