common_name;season;matches_played;matches_played_home;matches_played_away;wins;wins_home;wins_away;draws;draws_home;draws_away;losses;losses_home;losses_away;league_position;goals_scored;goals_conceded;goal_difference;total_goal_count;corners_total;corners_total_home;corners_total_away;cards_total;cards_total_home;cards_total_away
Junior;2021;48;24;24;19;15;4;19;7;12;10;2;8;2;61;47;14;108;238;126;112;128;63;65
Deportivo Cali;2021;48;24;24;22;10;12;16;11;5;10;3;7;1;62;46;16;108;262;141;121;139;75;64
Santa Fe;2021;40;20;20;15;7;8;14;7;7;11;6;5;14;47;39;8;86;193;107;86;95;47;48
Once Caldas;2021;38;19;19;8;6;2;13;5;8;17;8;9;17;38;53;-15;91;173;102;71;106;51;55
Millonarios;2021;50;25;25;26;15;11;10;5;5;14;5;9;2;78;53;25;131;250;146;104;137;60;77
Independiente Medellín;2021;38;19;19;11;6;5;19;13;6;8;0;8;12;31;30;1;61;173;105;68;106;52;54
Atlético Bucaramanga;2021;38;19;19;13;9;4;12;5;7;13;5;8;11;46;45;1;91;168;87;81;90;43;47
Deportes Tolima;2021;52;26;26;23;14;9;21;9;12;8;3;5;1;69;41;28;110;216;111;105;156;75;81
América de Cali;2021;46;23;23;17;9;8;14;7;7;15;7;8;3;51;42;9;93;228;124;104;115;50;65
Atlético Nacional;2021;46;23;23;23;15;8;14;6;8;9;2;7;3;81;40;41;121;234;126;108;112;46;66
Deportivo Pasto;2021;38;19;19;8;5;3;15;7;8;15;7;8;19;32;48;-16;80;156;99;57;85;39;46
Patriotas Boyacá;2021;38;19;19;9;5;4;8;5;3;21;9;12;18;31;52;-21;83;147;88;59;84;46;38
Envigado;2021;38;19;19;10;8;2;14;6;8;14;5;9;9;39;46;-7;85;123;54;69;122;57;65
Alianza Petrolera;2021;44;22;22;9;7;2;14;5;9;21;10;11;4;43;70;-27;113;198;130;68;105;55;50
Rionegro Águilas;2021;38;19;19;9;3;6;12;7;5;17;9;8;15;37;49;-12;86;181;106;75;94;43;51
La Equidad;2021;42;21;21;15;10;5;15;7;8;12;4;8;13;46;44;2;90;187;104;83;137;78;59
Jaguares de Córdoba;2021;38;19;19;14;9;5;10;5;5;14;5;9;10;44;47;-3;91;153;81;72;112;57;55
Boyacá Chicó;2021;18;9;9;5;4;1;4;2;2;9;3;6;13;17;20;-3;37;69;29;40;45;25;20
Deportivo Pereira;2021;44;22;22;14;7;7;14;10;4;16;5;11;4;46;58;-12;104;176;83;93;114;56;58
Atlético Huila;2021;20;10;10;2;1;1;4;3;1;14;6;8;20;12;35;-23;47;88;45;43;33;16;17
Deportes Quindío;2021;20;10;10;6;5;1;4;1;3;10;4;6;16;18;24;-6;42;89;45;44;50;21;29
